Business ID,Name,Address,Coordinates/Latitude,Coordinates/Longitude,Number of Reviews,Rating,Zip Code,CuisineType/S,InsertedAtTimestamp/N
CsZLG1VpdFAZiT_qRRmJ2A,Vin Sur Vingt,1140 Broadway,40.743927,-73.9887,182,4,10001,french,1697590707
9f6chaCx20d1A0Abo6NzUw,Chateau 49 Bar A Vin,924 2nd Ave,40.75428,-73.9687299,151,4,10022,french,1697590707
aTFkjo0scqmOgsFF5kuGXg,Claudette,24 5th Ave,40.7331,-73.99596,521,4,10011,french,1697590707
U8bfgo6nmR6g6RbERK8ECg,Maison Close,15 Watts St,40.72331,-74.00363,74,4,10013,french,1697590707
50fWXrNECQQYght4ZWeBXQ,Taureau,558 Broome St,40.724525,-74.005652,606,4.5,10013,french,1697590707
UPk0-eVCBdEieFlu9WeJAA,Vin Sur Vingt Bistro à Vins,230 E 51st St,40.755755,-73.969142,12,4,10022,french,1697590707
nBkSqOhZMa1A7Yk3q8VPaA,Dirty French New York,180 Ludlow St,40.72190048,-73.98718678,741,4,10002,french,1697590707
iV-gnXSjT7vl71Z9pttVvw,La Bonne Soupe,48 W 55th St,40.7624,-73.97694,183,4,10019,french,1697590707
sBL7J7s4Rnul40-MB0hXbA,Perrine,2 E 61st Street At Fifth Ave,40.7653272,-73.97199901,119,4,10065,french,1697590707
7N6Jle8ovxzAiiwwtE77Yw,Le Pavillon,One Vanderbilt Ave,40.75284534,-73.97848111,170,4.5,10017,french,1697590707
oyxtaqfFZkP_vC0M6GfkbA,Chez Napoleon,365 W 50th St,40.76340162,-73.9883904,308,4,10019,french,1697590707
xtfKAP7X36CCZrJm_Ta6Cg,The Consulate,519 Columbus Ave,40.78586,-73.97242,298,4,10024,french,1697590707
TGP5gbAgml0IDRLGCpFnCw,PMF Pardon My French,103 Ave B,40.724748,-73.981168,1126,4,10009,french,1697590707
5XQgZQF-5N94bkQ2d_PJIQ,Pascalou,1308 Madison Ave,40.78521,-73.95595,304,4,10128,french,1697590707
VaorFVboJxLfHIakSzGL6w,l’abeille,412 Greenwich St,40.72188,-74.00995,48,4,10013,french,1697590707
ZeKrSgDN0ksEp9TxiuezSg,46 Bistro,300 W 46th St,40.75985,-73.98833,26,4,10036,french,1697590707
R-biStUvl2zuhIQFk40GsQ,OCabanon,245 W 29th St,40.7486725,-73.9945145,456,4,10001,french,1697590707
bAmZzoqtc2QftmvQ2iE4BA,Cafe Chelsea,218 W 23rd St,40.744338,-73.996698,28,4,10011,french,1697590707
OppTOs3uBwOG29yF45lb8A,Mister French,24 E 21st St,40.7393774,-73.9889987,117,4,10010,french,1697590707
mBZUWdasmua9XOsWy8xdWA,Jacques,206 E 85th St,40.777824,-73.954143,262,3.5,10028,french,1697590707
F4iMhTJ5E5bgc7yCg-PfqQ,l’abeille à côté,412 Greenwich St,40.72207992,-74.00996679,3,4.5,10013,french,1697590707
bqhBU_iyHpaLlq0WSc5Nkw,Jean Claude 2,1343 2nd Ave,40.76800537,-73.95928955,203,4,10021,french,1697590707
2P2yx60T04Te19tkRZE43w,Le Rock,45 Rockefeller Plz,40.7591765,-73.97818622,65,4,10111,french,1697590707
cJREPXNhyznkLrKhjg9hoA,Tournesol,5012 Vernon Blvd,40.74239,-73.95451,467,4,11101,french,1697590707
nlmFAz_93gjSUfmvmv8Tog,Le Grainne Cafe,183 9th Ave,40.74540423,-74.0023806,677,4,10011,french,1697590707
hkooeEkd3oPsLD6JJrYpjA,Café Luce,235 E 53rd St,40.757323,-73.967928,147,4.5,10022,french,1697590707
qEbQbYZxurnuVxDrNHQUJg,La Boite en Bois,75 W 68th St,40.77492142,-73.98023987,272,3.5,10023,french,1697590707
dFeYwsVR8B03IYiZazwNIg,Brasserie cognac 48,517 Lexington Ave,40.755257,-73.972953,12,4,10017,french,1697590707
Gc7OVEIs4HodL4hw9U3C3w,Copinette,891 1st Ave,40.75407,-73.96623,227,4,10022,french,1697590707
BA6wd1pZTVu1DmrtiyTs8g,Raoul's Restaurant,180 Prince St,40.72615,-74.00216,648,4,10012,french,1697590707
5LqclCP-RTj61-5QNo0jZw,Maison Harlem,341 St Nicholas Ave,40.81218629,-73.95161009,581,4,10027,french,1697590707
N66LlG3W6Tw5LhUtAE7h1w,Cafe Un Deux Trois,123 W 44th St,40.75667,-73.98414,708,3.5,10036,french,1697590707
XDMtYVpUQag-uay9DHMm9A,Quatorze,1578 1st Ave,40.77433249,-73.95099277,91,4,10028,french,1697590707
WoZnkXZInggzgQM_LbDpGg,Le Baratin,26 Greenwich Ave,40.735025,-73.999857,264,4,10011,french,1697590707
3gtheZvv3Or0YzWXIl3SJg,Benoit,60 W 55th St,40.76256405,-73.97728107,583,3.5,10019,french,1697590707
V69n3YrAs59GenGB2jLVrA,Orsay,1057 Lexington Ave,40.772384,-73.960433,352,3.5,10021,french,1697590707
aUakHsv3bAk6tDtLe96rIA,Lucien,14 1st Ave,40.72339,-73.98817,491,3.5,10009,french,1697590707
mjGdtrh0tX7I91GM9dlMNg,MIMI,185 Sullivan St,40.7283483,-74.0006612,173,4,10012,french,1697590707
RP02PZPNdhfoL-TjOMiKVg,Table d'Hôte,44 E 92nd St,40.78447,-73.95581,171,4,10128,french,1697590707
gISZs8okQgFIpd-yz9aC4w,Café Henri,1010 50th Ave,40.742559,-73.953697,789,4,11101,french,1697590707
yvhhKv2CDjuJsC4ecG848g,Le Bilboquet,20 E 60th St,40.76381,-73.97058,258,3,10022,french,1697590707
_FlytyN_g4CjBL14JvrjBw,Manny's Bistro,225 Columbus Ave,40.77622201,-73.9792675,68,4,10023,french,1697590707
-qxQDGZc8Ejz7MUFlFWyuQ,Francie,136 Broadway,40.71002579,-73.96405744,189,4.5,11249,french,1697590707
8xYvp9j7j8RCRQGsiRRujQ,La Bergamote NYC,177 9th Ave,40.745044,-74.002863,405,4,10011,french,1697590707
TjsclSn2PbJ9AV3S4oiXUw,MaryLou,41 St Marks Pl,40.7285,-73.98707,27,4,10003,french,1697590707
